               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.047119,             0.12985,                   0,             0.66576,             0.28773,             0.29905,             0.10946,             0.09394,             0.16587,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.047328,              0.1324,                   0,             0.41069,             0.16667,             0.14791,            0.046143,            0.090397,             0.14273,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.048312,              0.1404,                   0,             0.99444,             0.99439,             0.99489,             0.60869,            0.041417,            0.068911,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.048749,             0.14362,                   0,             0.96685,             0.97222,              0.9905,             0.52569,            0.045369,            0.078504,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.048445,             0.13043,                   0,              0.4929,             0.53889,             0.48475,             0.20435,            0.082617,             0.10956,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.046618,             0.13388,                   0,             0.65272,             0.26111,             0.27615,             0.10363,            0.090345,             0.13382,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.046878,             0.13014,                   0,             0.99996,                   1,               0.995,              0.5806,            0.041003,            0.066864,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.045554,             0.12709,                   0,              0.9944,                   1,               0.995,             0.57043,            0.042472,            0.069818,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,             0.04633,             0.13011,                   0,             0.17584,            0.027778,            0.016809,           0.0034723,            0.092529,             0.19807,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.045162,             0.13435,                   0,             0.97196,             0.57767,             0.65861,             0.30964,            0.066521,             0.08039,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.044826,              0.1296,                   0,             0.99998,                   1,               0.995,             0.61295,            0.039737,            0.066228,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,            0.044777,             0.12779,                   0,                   1,             0.83887,             0.90209,             0.43451,            0.055279,            0.078331,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,            0.045795,             0.12944,                   0,             0.91982,             0.70556,             0.84918,             0.40878,            0.053894,            0.095737,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.045059,             0.13204,                   0,             0.99445,                   1,             0.99494,             0.60586,             0.03999,            0.066888,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.045314,             0.12794,                   0,             0.97674,             0.93333,             0.98321,             0.52126,            0.044916,            0.087832,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,             0.04541,             0.13291,                   0,             0.99999,                   1,               0.995,              0.6199,            0.040183,            0.065601,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,            0.044388,             0.12637,                   0,             0.99999,                   1,               0.995,              0.5941,            0.041202,            0.065814,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,            0.043765,             0.12578,                   0,                   1,                   1,               0.995,             0.64121,            0.038967,            0.063835,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,            0.044215,             0.13187,                   0,             0.99999,                   1,               0.995,             0.58339,             0.04182,            0.068264,                   0,            0.009274,            0.009274,            0.009274
                  57,             0.04388,             0.12364,                   0,             0.99997,                   1,               0.995,              0.6295,            0.040781,            0.064563,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,            0.043411,             0.12568,                   0,             0.98913,             0.50549,             0.53855,             0.28224,             0.08732,            0.066902,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,            0.044597,              0.1276,                   0,             0.99999,             0.66111,             0.68553,             0.41986,            0.070551,            0.067548,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,            0.043022,             0.12601,                   0,             0.70125,             0.52162,             0.59296,             0.22352,            0.064014,             0.12347,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,            0.043555,             0.12474,                   0,             0.12995,                0.05,            0.035257,            0.010716,            0.092805,             0.20658,                   0,           0.0091406,           0.0091406,           0.0091406
                  62,            0.041911,             0.12371,                   0,             0.99415,             0.96667,              0.9927,             0.54459,            0.043147,            0.074577,                   0,           0.0091127,           0.0091127,           0.0091127
                  63,            0.042978,             0.12691,                   0,                   1,             0.99996,               0.995,             0.53253,            0.042551,            0.073211,                   0,           0.0090844,           0.0090844,           0.0090844
                  64,            0.043725,             0.12421,                   0,             0.90773,             0.71111,             0.87251,             0.40617,            0.051324,             0.10118,                   0,           0.0090557,           0.0090557,           0.0090557
                  65,             0.04227,             0.12155,                   0,             0.99999,                   1,               0.995,              0.6307,            0.038692,            0.063103,                   0,           0.0090266,           0.0090266,           0.0090266
                  66,            0.043292,             0.12039,                   0,                   1,                   1,               0.995,             0.64085,            0.039607,            0.063451,                   0,           0.0089972,           0.0089972,           0.0089972
                  67,             0.04211,              0.1223,                   0,                   1,                   1,               0.995,             0.65342,            0.039171,            0.063133,                   0,           0.0089673,           0.0089673,           0.0089673
                  68,            0.042975,             0.12409,                   0,             0.98901,             0.99998,             0.99489,             0.63364,            0.038804,            0.065235,                   0,           0.0089371,           0.0089371,           0.0089371
                  69,            0.042556,             0.12092,                   0,             0.99999,                   1,               0.995,             0.65535,            0.038395,            0.063283,                   0,           0.0089065,           0.0089065,           0.0089065
                  70,            0.042571,             0.12607,                   0,             0.99302,             0.79444,             0.81917,             0.47416,            0.060482,            0.071673,                   0,           0.0088755,           0.0088755,           0.0088755
                  71,            0.040748,             0.11682,                   0,                   1,             0.99998,               0.995,             0.66482,            0.038315,            0.062379,                   0,           0.0088442,           0.0088442,           0.0088442
                  72,            0.041395,             0.11729,                   0,             0.99997,                   1,               0.995,             0.63814,            0.039648,            0.064028,                   0,           0.0088124,           0.0088124,           0.0088124
                  73,            0.041118,             0.11937,                   0,             0.99998,                   1,               0.995,             0.65709,            0.039031,             0.06121,                   0,           0.0087804,           0.0087804,           0.0087804
                  74,            0.042315,             0.12371,                   0,             0.98872,             0.98889,             0.99467,              0.6416,            0.039448,            0.064364,                   0,           0.0087479,           0.0087479,           0.0087479
                  75,            0.041733,             0.12238,                   0,             0.99993,             0.88889,             0.98088,             0.58688,            0.041505,             0.07503,                   0,           0.0087151,           0.0087151,           0.0087151
                  76,            0.042687,             0.12404,                   0,                   1,             0.99998,               0.995,             0.63462,            0.038724,            0.063584,                   0,            0.008682,            0.008682,            0.008682
                  77,            0.041407,             0.12036,                   0,             0.99997,                   1,               0.995,              0.5898,            0.042194,            0.066172,                   0,           0.0086485,           0.0086485,           0.0086485
                  78,            0.041353,             0.12308,                   0,             0.99422,             0.95547,             0.98351,             0.61332,            0.041495,            0.067306,                   0,           0.0086146,           0.0086146,           0.0086146
                  79,            0.041529,             0.11986,                   0,             0.78816,             0.82681,              0.8796,             0.47738,            0.051499,             0.10814,                   0,           0.0085805,           0.0085805,           0.0085805
                  80,            0.039832,             0.11314,                   0,             0.99444,             0.99444,             0.99494,             0.65002,            0.039315,            0.062565,                   0,           0.0085459,           0.0085459,           0.0085459
                  81,            0.042189,             0.12437,                   0,                   1,             0.99442,               0.995,              0.6811,            0.037944,            0.061034,                   0,           0.0085111,           0.0085111,           0.0085111
                  82,            0.041612,             0.12383,                   0,             0.99999,                   1,               0.995,             0.66781,            0.037444,            0.061504,                   0,           0.0084759,           0.0084759,           0.0084759
                  83,            0.040601,              0.1221,                   0,             0.99998,                   1,               0.995,             0.64353,             0.03821,             0.06504,                   0,           0.0084404,           0.0084404,           0.0084404
                  84,            0.040663,             0.11839,                   0,             0.99999,                   1,               0.995,             0.67625,            0.037394,            0.061112,                   0,           0.0084046,           0.0084046,           0.0084046
                  85,            0.041027,               0.119,                   0,             0.95522,             0.71106,             0.80346,             0.45502,            0.051455,             0.13412,                   0,           0.0083684,           0.0083684,           0.0083684
                  86,            0.040297,             0.11675,                   0,             0.99995,             0.99444,               0.995,             0.61297,            0.040509,            0.066299,                   0,           0.0083319,           0.0083319,           0.0083319
                  87,            0.039789,             0.11889,                   0,                   1,                   1,               0.995,             0.63537,            0.039897,            0.067964,                   0,           0.0082952,           0.0082952,           0.0082952
                  88,            0.040208,             0.11759,                   0,             0.99999,                   1,               0.995,             0.65862,            0.038151,            0.063074,                   0,           0.0082581,           0.0082581,           0.0082581
                  89,            0.040048,             0.11966,                   0,             0.99998,                   1,               0.995,             0.67375,            0.037455,            0.062508,                   0,           0.0082207,           0.0082207,           0.0082207
                  90,            0.040003,             0.11839,                   0,             0.99999,                   1,               0.995,             0.65375,            0.037856,            0.063003,                   0,            0.008183,            0.008183,            0.008183
                  91,            0.040367,             0.11696,                   0,             0.99999,                   1,               0.995,             0.65541,            0.037725,            0.062704,                   0,            0.008145,            0.008145,            0.008145
                  92,             0.04006,             0.11344,                   0,             0.99999,                   1,               0.995,             0.65882,            0.038032,            0.061696,                   0,           0.0081068,           0.0081068,           0.0081068
                  93,            0.039453,             0.11461,                   0,             0.98359,                   1,             0.99483,             0.64339,            0.038486,            0.067963,                   0,           0.0080682,           0.0080682,           0.0080682
                  94,            0.040678,              0.1171,                   0,                   1,                   1,               0.995,             0.69143,            0.036651,            0.059752,                   0,           0.0080294,           0.0080294,           0.0080294
                  95,            0.040464,              0.1188,                   0,             0.97764,             0.97222,             0.98934,             0.58889,            0.040897,            0.074759,                   0,           0.0079903,           0.0079903,           0.0079903
                  96,             0.03917,             0.11735,                   0,             0.99999,                   1,               0.995,             0.68355,            0.037495,            0.062183,                   0,           0.0079509,           0.0079509,           0.0079509
                  97,            0.039949,             0.12009,                   0,                   1,             0.78287,             0.88806,             0.49448,            0.048848,            0.075234,                   0,           0.0079112,           0.0079112,           0.0079112
                  98,            0.039742,             0.11475,                   0,             0.99999,                   1,               0.995,             0.67633,            0.037795,            0.060891,                   0,           0.0078713,           0.0078713,           0.0078713
                  99,             0.03922,             0.11603,                   0,                   1,             0.99444,               0.995,             0.63994,            0.038708,            0.065491,                   0,           0.0078311,           0.0078311,           0.0078311
                 100,            0.040066,             0.11802,                   0,                   1,                   1,               0.995,              0.6895,            0.036662,            0.060139,                   0,           0.0077907,           0.0077907,           0.0077907
                 101,            0.039594,             0.11456,                   0,                   1,                   1,               0.995,              0.6878,            0.036776,            0.060167,                   0,             0.00775,             0.00775,             0.00775
                 102,            0.040346,              0.1205,                   0,             0.99999,                   1,               0.995,             0.65633,            0.037969,            0.060978,                   0,           0.0077091,           0.0077091,           0.0077091
                 103,            0.039533,             0.11701,                   0,             0.99999,                   1,               0.995,             0.69683,            0.035992,            0.059431,                   0,           0.0076679,           0.0076679,           0.0076679
                 104,            0.040328,             0.11755,                   0,                   1,             0.99996,               0.995,             0.68713,             0.03763,            0.062761,                   0,           0.0076265,           0.0076265,           0.0076265
                 105,            0.039402,             0.11693,                   0,             0.79631,                 0.5,             0.63074,             0.28114,            0.067533,             0.11672,                   0,           0.0075848,           0.0075848,           0.0075848
                 106,            0.039316,             0.11579,                   0,              0.9589,             0.77774,             0.81219,             0.52368,            0.060829,            0.069114,                   0,            0.007543,            0.007543,            0.007543
                 107,            0.038971,             0.11169,                   0,             0.99361,             0.87778,             0.94242,             0.61355,            0.046259,            0.067453,                   0,           0.0075009,           0.0075009,           0.0075009
                 108,            0.038996,             0.11454,                   0,                   1,             0.77707,              0.8625,             0.51794,            0.055714,            0.071377,                   0,           0.0074585,           0.0074585,           0.0074585
                 109,            0.039381,             0.11932,                   0,             0.99999,                   1,               0.995,             0.53623,            0.042751,            0.078044,                   0,            0.007416,            0.007416,            0.007416
                 110,            0.039415,             0.12295,                   0,             0.99998,                   1,               0.995,             0.69598,            0.036617,            0.060371,                   0,           0.0073733,           0.0073733,           0.0073733
                 111,            0.038816,              0.1119,                   0,             0.99999,                   1,               0.995,              0.6871,            0.036476,            0.060965,                   0,           0.0073303,           0.0073303,           0.0073303
                 112,            0.039392,             0.11694,                   0,             0.99401,             0.92202,             0.96031,             0.60895,             0.04333,            0.070335,                   0,           0.0072872,           0.0072872,           0.0072872
                 113,            0.038668,             0.11473,                   0,             0.99999,                   1,               0.995,             0.69805,            0.036541,            0.060434,                   0,           0.0072438,           0.0072438,           0.0072438
                 114,            0.038299,             0.11131,                   0,                   1,                   1,               0.995,             0.67599,            0.037136,            0.060872,                   0,           0.0072003,           0.0072003,           0.0072003
                 115,            0.038913,             0.11263,                   0,             0.99999,                   1,               0.995,             0.68499,            0.037156,            0.060651,                   0,           0.0071566,           0.0071566,           0.0071566
                 116,            0.039563,             0.11649,                   0,                   1,                   1,               0.995,             0.67248,            0.037528,            0.062611,                   0,           0.0071127,           0.0071127,           0.0071127
                 117,            0.038456,             0.11389,                   0,                   1,             0.99999,               0.995,             0.68314,            0.037172,            0.060737,                   0,           0.0070686,           0.0070686,           0.0070686
                 118,            0.038474,             0.11252,                   0,             0.99999,                   1,               0.995,             0.68752,            0.037028,            0.060193,                   0,           0.0070243,           0.0070243,           0.0070243
                 119,            0.038954,             0.11344,                   0,             0.99999,             0.98333,             0.99352,             0.65856,            0.038311,            0.062785,                   0,           0.0069799,           0.0069799,           0.0069799
                 120,            0.038938,             0.11706,                   0,                   1,             0.99998,               0.995,             0.64144,            0.039155,            0.072079,                   0,           0.0069353,           0.0069353,           0.0069353
                 121,            0.038529,             0.11305,                   0,             0.99999,                   1,               0.995,             0.69351,            0.036887,            0.060813,                   0,           0.0068906,           0.0068906,           0.0068906
                 122,            0.039483,             0.11906,                   0,             0.99999,                   1,               0.995,             0.68517,            0.036934,            0.061697,                   0,           0.0068457,           0.0068457,           0.0068457
