               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1146,             0.16918,                   0,            0.083103,             0.29444,            0.063383,            0.011941,            0.098045,             0.10977,                   0,             0.00033,             0.00033,             0.09703
                   1,              0.1034,             0.16797,                   0,             0.20212,             0.42222,             0.17581,            0.037447,            0.091673,            0.092613,                   0,          0.00066985,          0.00066985,             0.09397
                   2,            0.089106,             0.15981,                   0,             0.47329,             0.80871,              0.5874,             0.14287,            0.073335,            0.092349,                   0,           0.0010091,           0.0010091,            0.090909
                   3,            0.074572,             0.15267,                   0,             0.68513,             0.82222,             0.78707,             0.20534,            0.063892,            0.082246,                   0,           0.0013473,           0.0013473,            0.087847
                   4,            0.069759,             0.14292,                   0,             0.14403,             0.74973,              0.1442,            0.033471,            0.092455,            0.077038,                   0,            0.001684,            0.001684,            0.084784
                   5,            0.079245,             0.14305,                   0,             0.61949,             0.68742,             0.62147,             0.12774,            0.070288,            0.081592,                   0,           0.0020188,           0.0020188,            0.081719
                   6,            0.074627,             0.14383,                   0,             0.36387,             0.92156,             0.42192,             0.12725,            0.066978,            0.075642,                   0,           0.0023511,           0.0023511,            0.078651
                   7,            0.072032,             0.14248,                   0,             0.92282,             0.94444,             0.94278,             0.33583,            0.065484,             0.07223,                   0,           0.0026806,           0.0026806,            0.075581
                   8,            0.067359,             0.14324,                   0,             0.53967,              0.9444,             0.60246,             0.16958,            0.064708,            0.075635,                   0,           0.0030069,           0.0030069,            0.072507
                   9,            0.065439,             0.14436,                   0,             0.79738,             0.83333,             0.76252,             0.17961,             0.06437,            0.074739,                   0,           0.0033294,           0.0033294,            0.069429
                  10,            0.064981,             0.13604,                   0,             0.89609,             0.91032,             0.96331,             0.40719,            0.052369,            0.075259,                   0,           0.0036478,           0.0036478,            0.066348
                  11,            0.061594,             0.14134,                   0,             0.89168,             0.96111,             0.94301,             0.38539,             0.04918,            0.075761,                   0,           0.0039617,           0.0039617,            0.063262
                  12,            0.058475,             0.13851,                   0,             0.82719,             0.86111,             0.88549,             0.31091,            0.053089,            0.071432,                   0,           0.0042706,           0.0042706,            0.060171
                  13,            0.056558,             0.13345,                   0,             0.98386,             0.68333,             0.74874,             0.39176,            0.064574,            0.081194,                   0,           0.0045742,           0.0045742,            0.057074
                  14,            0.058402,             0.14476,                   0,             0.98901,             0.99996,             0.98809,             0.55552,            0.045629,            0.070456,                   0,            0.004872,            0.004872,            0.053972
                  15,            0.061334,             0.14767,                   0,             0.64889,             0.95556,             0.77667,             0.27277,            0.054249,            0.071005,                   0,           0.0051637,           0.0051637,            0.050864
                  16,            0.060733,             0.13981,                   0,             0.91287,             0.94444,             0.94458,             0.39784,            0.050388,             0.07388,                   0,           0.0054488,           0.0054488,            0.047749
                  17,            0.057525,             0.14069,                   0,             0.98889,             0.98889,             0.98682,             0.51206,            0.045896,            0.075518,                   0,           0.0057271,           0.0057271,            0.044627
                  18,            0.055858,             0.13392,                   0,             0.84792,             0.96667,             0.95554,             0.34567,            0.050758,            0.066953,                   0,           0.0059982,           0.0059982,            0.041498
                  19,            0.053718,             0.12966,                   0,             0.95554,             0.95556,             0.94045,             0.29708,            0.055042,            0.074312,                   0,           0.0062616,           0.0062616,            0.038362
